,题干,A,B,C,D,答案
187,党的过渡时期总路线的主体是(   ),三大改造,社会主义革命和社会主义建设同时并举,社会主义工业化建设,对农业的社会主义改造,C
188,下面关于社会主义改造不正确的论述有(   ),社会主义改造的基本完成标志着社会主义制度在中国的确立,社会主义改造的基本完成实现了中国历史上最广泛最深刻的社会变革,社会主义改造的基本完成为中国的社会主义现代化建设奠定了基础,社会主义改造的基本完成标志中国已经建成了社会主义,D
189,党对农业的社会主义改造采取了循序渐进的步骤，逐步实现过渡。其中第二步是组织(   ),农业生产变工队,农业生产互助组,初级农业生产合作社,高级农业生产合作社,C
190,我国在对农业和手工业进行社会主义改造时采取的方针是(   ),积极领导、稳步前进,利用、限制、改造,和平赎买,自愿互利、典型示范和国家帮助,A
191,对资本主义工商业实行社会主义改造，使资本主义所有制过渡到社会主义公有制具有决定意义的重大步骤是(   ),委托加工,计划订货,统购包销,全行业公私合营,D
192,社会主义过渡时期总路线错误的说法是(   ),主要内容是“一化三改”,过渡时期结束的标志是社会主义改造结束,以单一的社会主义公有制为目标,以中国特色社会主义为目标,D
193,我国从新民主主义到社会主义的过渡时期，个体经济向社会主义集体经济过渡的形式是(   ),国营经济,私人资本主义经济,合作社经济,国家资本主义经济,C
194,中国历史上最深刻最大的社会变革是指（）,社会主义基本制度的确立,三大改造,新中国的成立,新民主主义革命,         A
195,在对资本主义工商业改造中，国家对资方在职人员和资方代理人所采取的原则是指（）,量才适用，适当照顾,改造,包下来,利用,         A
196,“工人革命的第一步就是使无产阶级上升为统治阶级，争得民主”出自以下哪一本著作（）,《关于农业生产互助合作的决议》,《共产党宣言》,《毛泽东文集》,"《关于党在过渡时期总路线的学习和宣传提纲》
",     B
197,社会主义改造中，中国共产党对待农民的方法是（）,引导、说服、教育,改造、教育,剥夺,引导、改造,  A
198,中国特色社会主义进入新时代，我国社会主要矛盾已经转化为(),人民日益增长的物质文化需要同落后的社会生产之间的矛盾,人民对于建立先进的工业国的要求同落后的农业国的现实之间的矛盾,人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾,人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾,D
199,当前我国社会主义所处的历史阶段是(),社会主义初级阶段,社会主义中级阶段,社会主义高级阶段,社会主义特殊阶段,A
200,习近平新时代中国特色社会主义思想的核心要义是(),坚持四项基本原则,以经济建设为中心,坚持和发展中国特色社会主义,坚持改革开放,C
201,实现社会主义现代化、创造人民美好生活的必经之路是(),中国特色社会主义制度,中国特色社会主义道路,中国特色社会主义文化,中国特色社会主义理论体系,B
202,解决我国一切问题的基础和关键(),创新,发展,改革,开放,B
203,中国特色社会主义的本质要求和重要保障是(),全面依法治国,全面深化改革,全面从严治党,全面建设小康社会,A
204,坚持和发展中国特色社会主义，总任务是（）,完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化,建设中国特色社会主义法治体系、建设社会主义法治国家,实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分两步走在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国,建设一支听党指挥、能打胜仗、作风优良的人民军队，把人民军队建设成为世界一流军队,C
205,（）是贯彻习近平新时代中国特色社会主义思想的一根红线,人民立场,人民主体,人民至上,人民幸福,C
206,习近平新时代中国特色社会主义思想强调底线思维，是指（）,高瞻远瞩、统揽全局,知古鉴今、运用历史眼光看待问题,破除迷信、超越陈规,客观设定最低目标，立足最低点争取最大期望值,D
207,习近平新时代中国特色社会主义思想强调法治思维，是指（）,高瞻远瞩、统揽全局,知古鉴今、运用历史眼光看待问题,增强尊法学法守法用法意识，用法治方式治国理政,客观设定最低目标，立足最低点争取最大期望值,C
208,人民是中国梦的（    ），是中国梦的创造者和享有者。,主体,客体,组织者,参与者,A
209,全面建设社会主义现代化国家的进程分两个阶段来安排。第一个阶段，从（    ），在全面建成小康社会的基础上，再奋斗15年，基本实现社会主义现代化。,2000年到2020年,2018年到2035年,2035年到2050年,2020年到2035年,D
210,中华民族的昨天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,A
211,中华民族的今天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,B
212,中华民族的明天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,C
213,制定正确的发展战略和政策的依据是（    ）。,我国社会的经济总量,我国社会的发展目标,我国社会的具体国情,我国社会的社会性质,C
214,中国特色社会主义事业要紧紧依靠（    ）。,全国各族人民,精英分子,中国共产党,爱国统一战线,A
215,（   ）是中国特色社会主义事业的领导力量。,全国各族人民,精英分子,中国共产党,爱国统一战线,C
216,党的十三大提出基本实现我国社会主义现代化的发展战略是（   ）。,“三步走”发展战略,“四步走”发展战略,“五步走”发展战略,“全面小康”发展战略,A
217,习近平同志指出，实现中国梦必须走(    )道路。,中国特色社会主义,现代化,和平发展,改革开放,A
218,习近平同志指出，实现中国梦必须凝聚中国力量。所谓中国力量，就是(    )。,中国共产党领导的力量,中国各族人民大团结的力量,工人阶级团结的力量,全球华人合作的力量,B
219,中国梦是（    ）的形象表达。,实现共产主义,全面建成小康社会,中华民族崛起,中华民族伟大复兴,D
220,全面建设社会主义现代化国家的进程分两个阶段来安排。第二个阶段，从（    ），在基本实现现代化的基础上，把我国建成富强民主文明和谐美丽的社会主义现代化国家。,2000年到2020年,2018年到2035年,2035年到本世纪中叶,2020年到2035年,C
221,改革开放之后，党提出了“三步走”战略目标，目前已经走完了,第一步,第二步和第三步,第一步和第二步,第二步,C
222,习近平在（    ）首次提中国梦。,十九大报告中,十八大报告中,参观《复兴之路》展览时,十七大报告中,C
223,（    ）是国家富强、民族振兴的根本出发点和落脚点。,人民幸福,人民满意,社会和谐,共同富裕,A
224,中国梦归根结底是（     ）的梦,共产主义,党,人民,民族,C
225,（）是引领发展的第一动力。,创新,协调,绿色,开放、共享,A
226,坚持（）发展，是应对发展环境变化、增强发展动力、把握发展主动权，更好引领新常态的根本之策。,创新,协调,绿色,开放、共享,A
227,坚持创新发展，就是把创新摆在国家发展全局的（）位置。,重要,次要,核心,非核心,C
228,（）是持续健康发展的内在要求。,创新,协调,绿色,开放、共享,B
229,（）是永续发展的必要条件和人民对美好生活追求的重要体现。,创新,协调,绿色,开放、共享,C
230,（）发展，就是要解决好人与自然和谐共生问题，推进美丽中国建设。,创新,协调,绿色,开放、共享,C
231,（）是国家繁荣发展的必由之路。,创新、协调,绿色,开放,共享,C
232,（）是中国特色社会主义的本质要求。,创新、协调,绿色,开放,共享,D
233,共享的内涵主要包括四个方面，即：全民共享、全面共享、共建共享、（）。,高级共享,均衡共享,渐进共享,同步共享,C
234,一九三九年，毛泽东第一次提出“新民主主义革命”的科学概念的著作是(   ),《中国革命和中国共产党》,《在晋绥干部会议上的讲话》,《新民主主义论》,《论人民民主专政》,A
235, “因为中国资产阶级根本上与剥削农民的豪绅地主相混合，中国革命要推翻地主阶级，便不能不同时推翻资产阶级”。这一观点的主要错误是(   ),忽视了反对帝国主义的必要性,未能区分中国资产阶级的两部分,混淆了民主革命和社会主义革命的任务,不承认中国资产阶级与地主阶级的区别,C
